TCGP_id,product,cycle,forecast_datetime,max_wind_speed_m/s,data_sourced_datetime_utc
awp022023,GFS,2023-05-29 12:00:00+00:00,2023-05-29 12:00:00+00:00,42.54488,2023-05-29 18:34:54.514338+00:00
awp022023,GFS,2023-05-29 12:00:00+00:00,2023-05-29 13:00:00+00:00,43.17316,2023-05-29 18:34:54.514338+00:00
awp022023,GFS,2023-05-29 12:00:00+00:00,2023-05-29 14:00:00+00:00,45.220917,2023-05-29 18:34:54.514338+00:00
awp022023,GFS,2023-05-29 12:00:00+00:00,2023-05-29 15:00:00+00:00,43.30663,2023-05-29 18:34:54.514338+00:00
awp022023,GFS,2023-05-29 12:00:00+00:00,2023-05-29 16:00:00+00:00,40.449356,2023-05-29 18:34:54.514338+00:00
awp022023,GFS,2023-05-29 12:00:00+00:00,2023-05-29 17:00:00+00:00,41.84424,2023-05-29 18:34:54.514338+00:00
awp022023,GFS,2023-05-29 12:00:00+00:00,2023-05-29 18:00:00+00:00,44.854294,2023-05-29 18:34:54.514338+00:00
awp022023,GFS,2023-05-29 12:00:00+00:00,2023-05-29 19:00:00+00:00,44.862877,2023-05-29 18:34:54.514338+00:00
awp022023,GFS,2023-05-29 12:00:00+00:00,2023-05-29 20:00:00+00:00,44.252964,2023-05-29 18:34:54.514338+00:00
awp022023,GFS,2023-05-29 12:00:00+00:00,2023-05-29 21:00:00+00:00,43.328194,2023-05-29 18:34:54.514338+00:00
awp022023,GFS,2023-05-29 12:00:00+00:00,2023-05-29 22:00:00+00:00,45.616455,2023-05-29 18:34:54.514338+00:00
awp022023,GFS,2023-05-29 12:00:00+00:00,2023-05-29 23:00:00+00:00,41.609913,2023-05-29 18:34:54.514338+00:00
awp022023,GFS,2023-05-29 12:00:00+00:00,2023-05-30 00:00:00+00:00,42.547707,2023-05-29 18:34:54.514338+00:00
awp022023,GFS,2023-05-29 12:00:00+00:00,2023-05-30 01:00:00+00:00,44.132477,2023-05-29 18:34:54.514338+00:00
awp022023,GFS,2023-05-29 12:00:00+00:00,2023-05-30 02:00:00+00:00,45.66564,2023-05-29 18:34:54.514338+00:00
awp022023,GFS,2023-05-29 12:00:00+00:00,2023-05-30 03:00:00+00:00,43.849716,2023-05-29 18:34:54.514338+00:00
awp022023,GFS,2023-05-29 12:00:00+00:00,2023-05-30 04:00:00+00:00,45.666836,2023-05-29 18:34:54.514338+00:00
awp022023,GFS,2023-05-29 12:00:00+00:00,2023-05-30 05:00:00+00:00,48.6659,2023-05-29 18:34:54.514338+00:00
awp022023,GFS,2023-05-29 12:00:00+00:00,2023-05-30 06:00:00+00:00,43.083473,2023-05-29 18:34:54.514338+00:00
awp022023,GFS,2023-05-29 12:00:00+00:00,2023-05-30 07:00:00+00:00,44.09765,2023-05-29 18:34:54.514338+00:00
awp022023,GFS,2023-05-29 12:00:00+00:00,2023-05-30 08:00:00+00:00,45.74239,2023-05-29 18:34:54.514338+00:00
awp022023,GFS,2023-05-29 12:00:00+00:00,2023-05-30 09:00:00+00:00,45.83676,2023-05-29 18:34:54.514338+00:00
awp022023,GFS,2023-05-29 12:00:00+00:00,2023-05-30 10:00:00+00:00,47.027233,2023-05-29 18:34:54.514338+00:00
