TCGP_id,product,cycle,forecast_datetime,max_wind_speed_m/s,data_sourced_datetime_utc
awp022023,GFS,2023-05-30 18:00:00+00:00,2023-05-30 18:00:00+00:00,35.389656,2023-05-30 20:23:56.461253+00:00
awp022023,GFS,2023-05-30 18:00:00+00:00,2023-05-30 19:00:00+00:00,31.67557,2023-05-30 20:23:56.461253+00:00
awp022023,GFS,2023-05-30 18:00:00+00:00,2023-05-30 20:00:00+00:00,30.395163,2023-05-30 20:23:56.461253+00:00
awp022023,GFS,2023-05-30 18:00:00+00:00,2023-05-30 21:00:00+00:00,29.880749,2023-05-30 20:23:56.461253+00:00
awp022023,GFS,2023-05-30 18:00:00+00:00,2023-05-30 22:00:00+00:00,30.12121,2023-05-30 20:23:56.461253+00:00
awp022023,GFS,2023-05-30 18:00:00+00:00,2023-05-30 23:00:00+00:00,29.340637,2023-05-30 20:23:56.461253+00:00
awp022023,GFS,2023-05-30 18:00:00+00:00,2023-05-31 00:00:00+00:00,30.8668,2023-05-30 20:23:56.461253+00:00
awp022023,GFS,2023-05-30 18:00:00+00:00,2023-05-31 01:00:00+00:00,35.5326,2023-05-30 20:23:56.461253+00:00
awp022023,GFS,2023-05-30 18:00:00+00:00,2023-05-31 02:00:00+00:00,34.38388,2023-05-30 20:23:56.461253+00:00
awp022023,GFS,2023-05-30 18:00:00+00:00,2023-05-31 03:00:00+00:00,36.352177,2023-05-30 20:23:56.461253+00:00
awp022023,GFS,2023-05-30 18:00:00+00:00,2023-05-31 04:00:00+00:00,31.348892,2023-05-30 20:23:56.461253+00:00
awp022023,GFS,2023-05-30 18:00:00+00:00,2023-05-31 05:00:00+00:00,31.397964,2023-05-30 20:23:56.461253+00:00
awp022023,GFS,2023-05-30 18:00:00+00:00,2023-05-31 06:00:00+00:00,29.5642,2023-05-30 20:23:56.461253+00:00
awp022023,GFS,2023-05-30 18:00:00+00:00,2023-05-31 07:00:00+00:00,29.920694,2023-05-30 20:23:56.461253+00:00
awp022023,GFS,2023-05-30 18:00:00+00:00,2023-05-31 08:00:00+00:00,32.373585,2023-05-30 20:23:56.461253+00:00
awp022023,GFS,2023-05-30 18:00:00+00:00,2023-05-31 09:00:00+00:00,31.105087,2023-05-30 20:23:56.461253+00:00
awp022023,GFS,2023-05-30 18:00:00+00:00,2023-05-31 10:00:00+00:00,30.98396,2023-05-30 20:23:56.461253+00:00
awp022023,GFS,2023-05-30 18:00:00+00:00,2023-05-31 11:00:00+00:00,33.086033,2023-05-30 20:23:56.461253+00:00
awp022023,GFS,2023-05-30 18:00:00+00:00,2023-05-31 12:00:00+00:00,32.36403,2023-05-30 20:23:56.461253+00:00
awp022023,GFS,2023-05-30 18:00:00+00:00,2023-05-31 13:00:00+00:00,29.426908,2023-05-30 20:23:56.461253+00:00
