TCGP_id,region,product,type,cycle,horizon_hours,forecast_datetime,lat,lon,max_wind_speed_m/s,radii_NE_km_0kt,radii_SE_km_0kt,radii_SW_km_0kt,radii_NW_km_0kt,radii_NE_km_34kt,radii_SE_km_34kt,radii_SW_km_34kt,radii_NW_km_34kt,radii_NE_km_50kt,radii_SE_km_50kt,radii_SW_km_50kt,radii_NW_km_50kt,radii_NE_km_64kt,radii_SE_km_64kt,radii_SW_km_64kt,radii_NW_km_64kt,data_sourced_datetime_utc,max_wind_speed_m/s_smoothed
awp022023,WP,JTWC,,2023-05-26 12:00:00+00:00,0.0,2023-05-26 12:00:00+00:00,15.941597265001258,136.69876332822713,74.5938,,,,,303.0929376040886,310.3048865862958,290.37722753021364,314.5541724378758,213.27407205526575,227.8185243807888,194.79780868159497,231.1762046945298,151.24994996004665,146.53283517292056,145.41333453433697,147.63046638621677,2023-05-26 18:46:21.860284+00:00,73.11090003707409
awp022023,WP,JTWC,,2023-05-26 12:00:00+00:00,12.0,2023-05-27 00:00:00+00:00,16.507533386501617,133.9095174704264,69.4494,,,,,327.8045684315154,361.22180015181107,303.1018953064659,365.6781628591961,191.47804229170964,189.23273293138573,179.30571941513696,192.89164282978547,105.21214982577067,104.74131270960714,99.10009552532637,104.07980188656248,2023-05-26 18:46:21.860284+00:00,72.86490553712619
awp022023,WP,JTWC,,2023-05-26 12:00:00+00:00,24.0,2023-05-27 12:00:00+00:00,17.108347409247788,131.2995113437267,72.0216,,,,,373.88132424108807,381.6299471246042,349.6387939889365,389.3890226490506,202.07319108633584,201.1377670684076,187.32964308078564,202.71534053571128,114.19952355830686,113.58719769527761,110.15727308258181,110.5605065578875,2023-05-26 18:46:21.860284+00:00,70.47986438051113
awp022023,WP,JTWC,,2023-05-26 12:00:00+00:00,36.0,2023-05-28 00:00:00+00:00,17.809084732639565,129.31053266433756,66.8772,,,,,406.97966834922835,400.05958371658966,390.7068520480826,408.76746037917354,207.65884507520676,200.22976807169903,200.2654435087063,200.8090839258125,123.65750150422664,122.75093488827922,117.69704333160713,122.40333183259327,2023-05-26 18:46:21.860284+00:00,66.44667898043795
awp022023,WP,JTWC,,2023-05-26 12:00:00+00:00,48.0,2023-05-28 12:00:00+00:00,18.453687721512537,127.54183950594295,61.7328,,,,,393.29911857985604,379.1885713240388,385.841811519606,386.35035979059563,206.0645588826977,197.23753398938433,201.84130103251974,197.01998589697845,114.66663763939805,120.89180202512269,108.21085791432587,121.47765721683487,2023-05-26 18:46:21.860284+00:00,61.2562517501157
awp022023,WP,JTWC,,2023-05-26 12:00:00+00:00,72.0,2023-05-29 12:00:00+00:00,19.90589672898463,125.31177373608662,48.8718,,,,,354.9686930561597,379.0097463401432,349.54571907045215,381.358019219534,205.12310221729825,193.02104078753,203.37393727134358,197.2607715544854,113.10173347373522,111.60894471552487,109.38687709023809,112.85592892981006,2023-05-26 18:46:21.860284+00:00,49.367281451560146
awp022023,WP,JTWC,,2023-05-26 12:00:00+00:00,96.0,2023-05-30 12:00:00+00:00,21.00058097322932,124.7125802408895,38.583,,,,,329.7951282900992,370.8367107542245,337.5862358870338,371.88006679898774,169.91383331043795,175.3084294809341,164.5530600094845,177.87317100010097,121.82792739045753,119.34235171154505,120.03009963853567,121.9680651353719,2023-05-26 18:46:21.860284+00:00,38.74017279051679
awp022023,WP,JTWC,,2023-05-26 12:00:00+00:00,120.0,2023-05-31 12:00:00+00:00,21.603999923270415,125.73223035018037,33.4386,,,,,323.1536077600755,323.38080115199705,326.22481625121725,325.9409350764773,123.69305406618528,128.80114589835577,120.54686148494645,131.06053777596128,77.92624938160655,77.92624938160655,77.92624938160655,51.82173601818603,2023-05-26 18:46:21.860284+00:00,33.302145072657964
