TCGP_id,product,cycle,forecast_datetime,max_wind_speed_m/s,data_sourced_datetime_utc
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-02 12:00:00+00:00,27.436125,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-02 13:00:00+00:00,26.937948,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-02 14:00:00+00:00,27.514013,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-02 15:00:00+00:00,26.444328,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-02 16:00:00+00:00,25.947649,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-02 17:00:00+00:00,24.991539,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-02 18:00:00+00:00,24.525784,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-02 19:00:00+00:00,24.109783,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-02 20:00:00+00:00,24.163918,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-02 21:00:00+00:00,24.817293,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-02 22:00:00+00:00,24.347042,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-02 23:00:00+00:00,23.678259,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-03 00:00:00+00:00,24.647993,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-03 01:00:00+00:00,24.572498,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-03 02:00:00+00:00,23.642456,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-03 03:00:00+00:00,25.222857,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-03 04:00:00+00:00,22.976692,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-03 05:00:00+00:00,22.67748,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-03 06:00:00+00:00,22.781044,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-03 07:00:00+00:00,22.697048,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-03 08:00:00+00:00,24.39448,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-03 09:00:00+00:00,22.271137,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-03 10:00:00+00:00,22.16732,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-03 11:00:00+00:00,22.340567,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-03 12:00:00+00:00,22.833881,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-03 13:00:00+00:00,23.192015,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-03 14:00:00+00:00,23.820171,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-03 15:00:00+00:00,24.060133,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-03 16:00:00+00:00,24.366503,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-03 17:00:00+00:00,23.774576,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-03 18:00:00+00:00,22.457008,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-03 19:00:00+00:00,23.703302,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-03 20:00:00+00:00,23.964617,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-03 21:00:00+00:00,24.548527,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-03 22:00:00+00:00,23.593138,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-03 23:00:00+00:00,23.762148,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-04 00:00:00+00:00,23.53838,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-04 01:00:00+00:00,22.871468,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-04 02:00:00+00:00,22.576952,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-04 03:00:00+00:00,22.031015,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-04 04:00:00+00:00,21.947357,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-04 05:00:00+00:00,21.237516,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-04 06:00:00+00:00,20.08281,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-04 07:00:00+00:00,17.755566,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-04 08:00:00+00:00,16.15743,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-04 09:00:00+00:00,16.439127,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-04 10:00:00+00:00,17.02334,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-04 11:00:00+00:00,15.102334,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-04 12:00:00+00:00,14.660004,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-04 13:00:00+00:00,15.585394,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-04 14:00:00+00:00,16.60781,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-04 15:00:00+00:00,16.455376,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-04 16:00:00+00:00,16.512241,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-04 17:00:00+00:00,16.765217,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-04 18:00:00+00:00,15.668242,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-04 19:00:00+00:00,13.687403,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-04 20:00:00+00:00,13.950416,2023-06-02 20:54:59.239377+00:00
awp022023,GFS,2023-06-02 12:00:00+00:00,2023-06-04 21:00:00+00:00,14.461425,2023-06-02 20:54:59.239377+00:00
