TCGP_id,product,cycle,forecast_datetime,max_wind_speed_m/s,data_sourced_datetime_utc
awp022023,GFS,2023-05-28 18:00:00+00:00,2023-05-28 18:00:00+00:00,47.904343,2023-05-28 18:05:37.165263+00:00
awp022023,GFS,2023-05-28 18:00:00+00:00,2023-05-28 19:00:00+00:00,43.29241,2023-05-28 18:05:37.165263+00:00
awp022023,GFS,2023-05-28 18:00:00+00:00,2023-05-28 20:00:00+00:00,41.771843,2023-05-28 18:05:37.165263+00:00
awp022023,GFS,2023-05-28 18:00:00+00:00,2023-05-28 21:00:00+00:00,46.714207,2023-05-28 18:05:37.165263+00:00
awp022023,GFS,2023-05-28 18:00:00+00:00,2023-05-28 22:00:00+00:00,47.792862,2023-05-28 18:05:37.165263+00:00
awp022023,GFS,2023-05-28 18:00:00+00:00,2023-05-28 23:00:00+00:00,44.073307,2023-05-28 18:05:37.165263+00:00
awp022023,GFS,2023-05-28 18:00:00+00:00,2023-05-29 00:00:00+00:00,44.838634,2023-05-28 18:05:37.165263+00:00
awp022023,GFS,2023-05-28 18:00:00+00:00,2023-05-29 01:00:00+00:00,49.527214,2023-05-28 18:05:37.165263+00:00
awp022023,GFS,2023-05-28 18:00:00+00:00,2023-05-29 02:00:00+00:00,46.44257,2023-05-28 18:05:37.165263+00:00
awp022023,GFS,2023-05-28 18:00:00+00:00,2023-05-29 03:00:00+00:00,45.038403,2023-05-28 18:05:37.165263+00:00
awp022023,GFS,2023-05-28 18:00:00+00:00,2023-05-29 04:00:00+00:00,46.026432,2023-05-28 18:05:37.165263+00:00
awp022023,GFS,2023-05-28 18:00:00+00:00,2023-05-29 05:00:00+00:00,44.48159,2023-05-28 18:05:37.165263+00:00
awp022023,GFS,2023-05-28 18:00:00+00:00,2023-05-29 06:00:00+00:00,45.808773,2023-05-28 18:05:37.165263+00:00
awp022023,GFS,2023-05-28 18:00:00+00:00,2023-05-29 07:00:00+00:00,49.43851,2023-05-28 18:05:37.165263+00:00
awp022023,GFS,2023-05-28 18:00:00+00:00,2023-05-29 08:00:00+00:00,46.14238,2023-05-28 18:05:37.165263+00:00
awp022023,GFS,2023-05-28 18:00:00+00:00,2023-05-29 09:00:00+00:00,47.814827,2023-05-28 18:05:37.165263+00:00
awp022023,GFS,2023-05-28 18:00:00+00:00,2023-05-29 10:00:00+00:00,44.109234,2023-05-28 18:05:37.165263+00:00
awp022023,GFS,2023-05-28 18:00:00+00:00,2023-05-29 11:00:00+00:00,45.848675,2023-05-28 18:05:37.165263+00:00
awp022023,GFS,2023-05-28 18:00:00+00:00,2023-05-29 12:00:00+00:00,46.284966,2023-05-28 18:05:37.165263+00:00
awp022023,GFS,2023-05-28 18:00:00+00:00,2023-05-29 13:00:00+00:00,45.75723,2023-05-28 18:05:37.165263+00:00
awp022023,GFS,2023-05-28 18:00:00+00:00,2023-05-29 14:00:00+00:00,46.02924,2023-05-28 18:05:37.165263+00:00
awp022023,GFS,2023-05-28 18:00:00+00:00,2023-05-29 15:00:00+00:00,44.456154,2023-05-28 18:05:37.165263+00:00
awp022023,GFS,2023-05-28 18:00:00+00:00,2023-05-29 16:00:00+00:00,44.2545,2023-05-28 18:05:37.165263+00:00
awp022023,GFS,2023-05-28 18:00:00+00:00,2023-05-29 17:00:00+00:00,43.676228,2023-05-28 18:05:37.165263+00:00
awp022023,GFS,2023-05-28 18:00:00+00:00,2023-05-29 18:00:00+00:00,46.02775,2023-05-28 18:05:37.165263+00:00
awp022023,GFS,2023-05-28 18:00:00+00:00,2023-05-29 19:00:00+00:00,47.499947,2023-05-28 18:05:37.165263+00:00
