TCGP_id,product,cycle,forecast_datetime,max_wind_speed_m/s,data_sourced_datetime_utc
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-27 00:00:00+00:00,61.14131,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-27 01:00:00+00:00,63.471725,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-27 02:00:00+00:00,63.720093,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-27 03:00:00+00:00,62.107327,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-27 04:00:00+00:00,63.820454,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-27 05:00:00+00:00,60.124203,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-27 06:00:00+00:00,63.58152,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-27 07:00:00+00:00,58.090446,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-27 08:00:00+00:00,60.96499,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-27 09:00:00+00:00,60.67264,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-27 10:00:00+00:00,59.211906,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-27 11:00:00+00:00,58.47196,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-27 12:00:00+00:00,58.364544,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-27 13:00:00+00:00,58.319553,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-27 14:00:00+00:00,58.295197,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-27 15:00:00+00:00,59.86017,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-27 16:00:00+00:00,61.473328,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-27 17:00:00+00:00,58.31269,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-27 18:00:00+00:00,58.768784,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-27 19:00:00+00:00,56.871876,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-27 20:00:00+00:00,58.87648,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-27 21:00:00+00:00,57.4465,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-27 22:00:00+00:00,56.697266,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-27 23:00:00+00:00,59.38594,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-28 00:00:00+00:00,59.81413,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-28 01:00:00+00:00,58.677505,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-28 02:00:00+00:00,56.07798,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-28 03:00:00+00:00,57.336292,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-28 04:00:00+00:00,55.458992,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-28 05:00:00+00:00,55.3104,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-28 06:00:00+00:00,56.491062,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-28 07:00:00+00:00,55.50928,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-28 08:00:00+00:00,54.19373,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-28 09:00:00+00:00,54.928314,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-28 10:00:00+00:00,56.044624,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-28 11:00:00+00:00,54.144714,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-28 12:00:00+00:00,55.3404,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-28 13:00:00+00:00,53.344353,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-28 14:00:00+00:00,55.916817,2023-05-27 04:26:48.675287+00:00
awp022023,GFS,2023-05-27 00:00:00+00:00,2023-05-28 15:00:00+00:00,56.57959,2023-05-27 04:26:48.675287+00:00
