datetime,ADCIRC_nowcast,ADCIRC_forecast,ML_Q50_forecast,ML_Q01_forecast,ML_Q10_forecast,ML_Q20_forecast,ML_Q80_forecast,ML_Q90_forecast,ML_Q99_forecast,station_name
2022-07-09 21:12:00+00:00,-0.0057409,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-10 00:12:00+00:00,-0.55552244,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-10 03:12:00+00:00,0.55052114,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-10 06:12:00+00:00,1.596838,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-10 09:12:00+00:00,0.32099277,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-10 12:12:00+00:00,-1.5261699,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-10 15:12:00+00:00,-1.0803012,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-10 18:12:00+00:00,0.5558575,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-10 21:12:00+00:00,0.5825647,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-11 00:12:00+00:00,-0.41748178,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-11 03:12:00+00:00,0.20112272,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-11 06:12:00+00:00,1.7264261,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-11 09:12:00+00:00,1.0991013,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-11 12:12:00+00:00,-1.2634046,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-11 15:12:00+00:00,-1.7129014,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-11 18:12:00+00:00,0.09545673,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-11 21:12:00+00:00,0.9331549,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-12 00:12:00+00:00,-0.19806737,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-12 03:12:00+00:00,-0.2828039,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-12 06:12:00+00:00,1.4047697,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-12 09:12:00+00:00,1.6129199,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-12 12:12:00+00:00,-0.8305614,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-12 15:12:00+00:00,-2.2203145,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-12 18:12:00+00:00,-0.6227154,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-12 21:12:00+00:00,1.010983,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-13 00:12:00+00:00,0.16924764,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-13 03:12:00+00:00,-0.55847657,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-13 06:12:00+00:00,0.9973873,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-13 09:12:00+00:00,2.0322669,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-13 12:12:00+00:00,-0.031438556,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-13 15:12:00+00:00,-2.291489,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-13 18:12:00+00:00,-1.2390187,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-13 21:12:00+00:00,0.9546166,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-14 00:12:00+00:00,0.6504613,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-14 03:12:00+00:00,-0.69287175,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-14 06:12:00+00:00,0.30821487,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-14 09:12:00+00:00,2.0297298,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-14 12:12:00+00:00,0.75298506,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-14 15:12:00+00:00,-2.029096,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-14 18:12:00+00:00,-1.8409941,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-14 21:12:00+00:00,0.6223366,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-15 00:12:00+00:00,1.101398,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-15 03:12:00+00:00,-0.49548268,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-15 06:12:00+00:00,-0.18469469,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-15 09:12:00+00:00,1.7948472,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-15 12:12:00+00:00,1.411013,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-15 15:12:00+00:00,-1.4423034,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-15 18:12:00+00:00,-2.1651475,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-15 21:12:00+00:00,0.12350575,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-16 00:12:00+00:00,1.3105334,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-16 03:12:00+00:00,-0.16727854,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-16 06:12:00+00:00,-0.6493761,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-16 09:12:00+00:00,1.207456,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-16 12:12:00+00:00,1.7233928,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-16 15:12:00+00:00,-0.7091433,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-16 18:12:00+00:00,-2.226296,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-16 21:12:00+00:00,-0.43851608,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-17 00:12:00+00:00,1.291259,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-17 03:12:00+00:00,0.21714407,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-17 06:12:00+00:00,-0.8700039,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-17 09:12:00+00:00,0.5248728,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-17 12:12:00+00:00,1.7629092,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-17 15:12:00+00:00,0.0793207,,,,,,,,,9453220 Yakutat Bay AK                            
2022-07-17 18:12:00+00:00,-1.8977298,,,,,,,,,9453220 Yakutat Bay AK                            
